route_id,city,city_tier,source_lat,source_lng,dest_lat,dest_lng,source_subregion,source_zone,dest_subregion,dest_zone,distance_km,base_time_min,timestamp,time_of_day,day_of_week,hour,is_holiday,weather_condition,traffic_level,cab_type,cab_availability,surge_multiplier,base_price_per_km,per_minute_rate,estimated_time_min,fare_amount
0,Mumbai,1,19.01485,72.84165,18.921995,72.820225,Dadar Station,Railway,Nariman Point,City Center,11.55,14.82,2026-06-29T06:00,Morning,Monday,6,0,Rainy,High,SUV,15,1.43,21.0,2.5,28.03,724.19
0,Mumbai,1,19.01485,72.84165,18.921995,72.820225,Dadar Station,Railway,Nariman Point,City Center,11.55,14.82,2026-06-06T18:00,Evening,Saturday,18,0,Cloudy,Medium,SUV,15,1.2,21.0,2.5,22.12,588.87
0,Mumbai,1,19.01485,72.84165,18.921995,72.820225,Dadar Station,Railway,Nariman Point,City Center,11.55,14.82,2026-06-03T01:00,Night,Wednesday,1,0,Sunny,Low,Mini,15,1.17,21.0,2.5,20.9,467.08
0,Mumbai,1,19.01485,72.84165,18.921995,72.820225,Dadar Station,Railway,Nariman Point,City Center,11.55,14.82,2026-06-13T17:00,Evening,Saturday,17,0,Sunny,Medium,Sedan,15,1.23,21.0,2.5,25.93,502.37
0,Mumbai,1,19.01485,72.84165,18.921995,72.820225,Dadar Station,Railway,Nariman Point,City Center,11.55,14.82,2026-06-12T10:00,Afternoon,Friday,10,0,Sunny,Low,Sedan,15,1.09,21.0,2.5,17.52,370.08
1,Mumbai,1,18.940705,72.830718,18.936986,72.835454,CSMT,Railway,CSMT,Railway,1.96,3.5,2026-06-10T04:00,Night,Wednesday,4,0,Rainy,Low,Mini,15,1.33,21.0,2.5,11.27,169.71
1,Mumbai,1,18.940705,72.830718,18.936986,72.835454,CSMT,Railway,CSMT,Railway,1.96,3.5,2026-06-04T23:00,Night,Thursday,23,0,Sunny,Low,SUV,15,1.07,21.0,2.5,9.12,207.42
1,Mumbai,1,18.940705,72.830718,18.936986,72.835454,CSMT,Railway,CSMT,Railway,1.96,3.5,2026-06-03T22:00,Night,Wednesday,22,0,Sunny,Low,SUV,15,1.07,21.0,2.5,8.08,211.93
1,Mumbai,1,18.940705,72.830718,18.936986,72.835454,CSMT,Railway,CSMT,Railway,1.96,3.5,2026-06-30T05:00,Night,Tuesday,5,0,Rainy,Low,Mini,15,1.24,21.0,2.5,9.0,161.21
1,Mumbai,1,18.940705,72.830718,18.936986,72.835454,CSMT,Railway,CSMT,Railway,1.96,3.5,2026-06-11T17:00,Evening,Thursday,17,0,Rainy,Medium,Sedan,15,1.58,21.0,2.5,6.6,196.17
2,Mumbai,1,19.093412,72.85926,19.019404,73.039893,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,31.26,27.43,2026-06-20T06:00,Morning,Saturday,6,0,Sunny,Medium,Mini,18,1.33,21.0,2.5,36.45,1338.17
2,Mumbai,1,19.093412,72.85926,19.019404,73.039893,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,31.26,27.43,2026-06-26T21:00,Night,Friday,21,1,Rainy,Low,Mini,18,1.49,21.0,2.5,30.61,1373.18
2,Mumbai,1,19.093412,72.85926,19.019404,73.039893,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,31.26,27.43,2026-06-19T00:00,Night,Friday,0,0,Sunny,Low,SUV,18,1.02,21.0,2.5,34.85,1170.81
2,Mumbai,1,19.093412,72.85926,19.019404,73.039893,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,31.26,27.43,2026-06-17T10:00,Afternoon,Wednesday,10,0,Rainy,Medium,Mini,18,1.38,21.0,2.5,38.15,1250.46
2,Mumbai,1,19.093412,72.85926,19.019404,73.039893,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,31.26,27.43,2026-06-11T08:00,Morning,Thursday,8,0,Rainy,High,Sedan,18,1.43,21.0,2.5,48.43,1253.6
3,Mumbai,1,19.095388,72.853697,19.020603,73.035555,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,30.43,26.47,2026-06-02T19:00,Evening,Tuesday,19,0,Sunny,Medium,SUV,18,1.15,21.0,2.5,36.79,1707.81
3,Mumbai,1,19.095388,72.853697,19.020603,73.035555,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,30.43,26.47,2026-06-06T18:00,Evening,Saturday,18,0,Cloudy,Medium,Sedan,18,1.17,21.0,2.5,39.22,1075.12
3,Mumbai,1,19.095388,72.853697,19.020603,73.035555,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,30.43,26.47,2026-06-17T11:00,Afternoon,Wednesday,11,0,Rainy,Medium,SUV,18,1.37,21.0,2.5,38.93,1822.45
3,Mumbai,1,19.095388,72.853697,19.020603,73.035555,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,30.43,26.47,2026-06-15T02:00,Night,Monday,2,0,Sunny,Low,Sedan,18,1.19,21.0,2.5,30.49,1048.91
3,Mumbai,1,19.095388,72.853697,19.020603,73.035555,CSIA Terminal 1,Airport,Navi Mumbai,Suburb,30.43,26.47,2026-06-12T05:00,Night,Friday,5,0,Rainy,Low,Mini,18,1.3,21.0,2.5,27.37,1163.1
4,Mumbai,1,19.100822,72.825499,19.001675,72.828037,Juhu,City Center,Lower Parel,City Center,13.9,16.16,2026-06-25T00:00,Night,Thursday,0,0,Rainy,Low,Sedan,12,1.44,21.0,2.5,20.69,598.38
4,Mumbai,1,19.100822,72.825499,19.001675,72.828037,Juhu,City Center,Lower Parel,City Center,13.9,16.16,2026-06-07T15:00,Afternoon,Sunday,15,0,Sunny,Low,SUV,12,1.25,21.0,2.5,21.2,778.72
4,Mumbai,1,19.100822,72.825499,19.001675,72.828037,Juhu,City Center,Lower Parel,City Center,13.9,16.16,2026-06-26T08:00,Morning,Friday,8,1,Rainy,High,Mini,12,2.0,21.0,2.5,28.5,884.4
4,Mumbai,1,19.100822,72.825499,19.001675,72.828037,Juhu,City Center,Lower Parel,City Center,13.9,16.16,2026-06-26T14:00,Afternoon,Friday,14,1,Rainy,Medium,SUV,12,1.8,21.0,2.5,23.42,1241.55
4,Mumbai,1,19.100822,72.825499,19.001675,72.828037,Juhu,City Center,Lower Parel,City Center,13.9,16.16,2026-06-22T04:00,Night,Monday,4,0,Rainy,Low,Sedan,12,1.44,21.0,2.5,19.92,738.97
5,Mumbai,1,19.099697,72.874962,19.208088,72.975132,CSIA Terminal 2,Airport,Thane,Suburb,22.28,23.16,2026-06-21T09:00,Morning,Sunday,9,0,Cloudy,Low,Mini,18,1.15,21.0,2.5,26.93,638.18
5,Mumbai,1,19.099697,72.874962,19.208088,72.975132,CSIA Terminal 2,Airport,Thane,Suburb,22.28,23.16,2026-06-14T04:00,Night,Sunday,4,0,Rainy,Low,Sedan,18,1.15,21.0,2.5,29.71,713.41
5,Mumbai,1,19.099697,72.874962,19.208088,72.975132,CSIA Terminal 2,Airport,Thane,Suburb,22.28,23.16,2026-06-20T01:00,Night,Saturday,1,0,Sunny,Low,Mini,18,1.14,21.0,2.5,30.04,700.58
5,Mumbai,1,19.099697,72.874962,19.208088,72.975132,CSIA Terminal 2,Airport,Thane,Suburb,22.28,23.16,2026-06-25T17:00,Evening,Thursday,17,0,Rainy,Medium,Sedan,18,1.47,21.0,2.5,33.1,1273.96
5,Mumbai,1,19.099697,72.874962,19.208088,72.975132,CSIA Terminal 2,Airport,Thane,Suburb,22.28,23.16,2026-06-30T05:00,Night,Tuesday,5,0,Rainy,Low,Sedan,18,1.21,21.0,2.5,32.08,955.16
6,Mumbai,1,18.998974,72.829046,19.099013,72.877331,Lower Parel,City Center,CSIA Terminal 2,Airport,16.9,18.1,2026-06-24T22:00,Night,Wednesday,22,0,Rainy,Low,Mini,12,1.65,21.0,2.5,24.2,753.41
6,Mumbai,1,18.998974,72.829046,19.099013,72.877331,Lower Parel,City Center,CSIA Terminal 2,Airport,16.9,18.1,2026-06-11T02:00,Night,Thursday,2,0,Sunny,Low,SUV,12,1.45,21.0,2.5,23.53,883.53
6,Mumbai,1,18.998974,72.829046,19.099013,72.877331,Lower Parel,City Center,CSIA Terminal 2,Airport,16.9,18.1,2026-06-23T14:00,Afternoon,Tuesday,14,0,Rainy,High,SUV,12,1.79,21.0,2.5,32.86,1182.81
6,Mumbai,1,18.998974,72.829046,19.099013,72.877331,Lower Parel,City Center,CSIA Terminal 2,Airport,16.9,18.1,2026-06-13T07:00,Morning,Saturday,7,0,Sunny,Medium,Sedan,12,1.38,21.0,2.5,27.94,624.47
6,Mumbai,1,18.998974,72.829046,19.099013,72.877331,Lower Parel,City Center,CSIA Terminal 2,Airport,16.9,18.1,2026-06-07T15:00,Afternoon,Sunday,15,0,Sunny,Low,Sedan,12,1.09,21.0,2.5,24.36,514.18
7,Mumbai,1,18.943353,72.839065,19.21008,72.978557,CSMT,Railway,Thane,Suburb,37.49,30.88,2026-06-20T05:00,Night,Saturday,5,0,Sunny,Low,SUV,15,1.2,21.0,2.5,38.43,1789.8
7,Mumbai,1,18.943353,72.839065,19.21008,72.978557,CSMT,Railway,Thane,Suburb,37.49,30.88,2026-06-25T22:00,Night,Thursday,22,0,Rainy,Low,Mini,15,1.37,21.0,2.5,36.79,1313.07
